title,authors,averageRating,ratingsCount,publishedDate,description,price,currency
Como Escrever Um Livro,Bo Karma,N/A,N/A,2015-03-09,"Se gostaria de um dia escrever o seu primeiro livro ou um bom livro, e nunca soube como, este pode ser o livro pelo qual tem procurado. Atrav�s desta obra perceber� porque existem escritores que conseguem escrever dezenas de livros, at� mesmo centenas, apesar de tanta gente se sentir frustrada por n�o conseguir sequer escrever um s� livro. Compreender� tamb�m o que torna alguns livros em sucessos r�pidos no plano mundial.Saiba que existem h�bitos, formas de pensar e cren�as, comuns a todos os escritores de sucesso, segredos que estes raramente partilham com o publico, mas que s�o aqui desvendados. Estes segredos incluem estrat�gias para aumentar a motiva��o, bem como aumentar as vendas, e muito acima de milhares de outros escritores no mercado.As f�rmulas que poucos conhecem, encontram-se ocultas at� mesmo a muitas editoras experientes, e � por isso que existem livros que outrora foram recusados por muitas e, apesar disso, atingiram um patamar inesperado de popularidade.Reunindo um conjunto vasto de quest�es que a maioria certamente se coloca, quando pensa em publicar um livro, esta obra remete diretamente para os factos mais ocultos do mundo da escrita, enquanto responde diretamente a todas elas.",N/A,N/A
De volta aos quinze,Bruna Vieira,N/A,N/A,2013-08-23,"O livro que inspirou a série da Netflix. O que você faria se pudesse voltar no tempo? Será que, ao fazer escolhas diferentes, você conseguiria mudar sua vida para melhor? Anita tem 30 anos e sua vida é muito diferente do que sonhou para si mesma. Um dia, ao reencontrar seu primeiro blog, escrito quando ela tinha 15 anos, algo inusitado acontece, e tudo ao seu redor se transforma de repente. Com cabeça de adulto e corpo de adolescente, Anita se vê novamente vivendo as aventuras de uma das épocas mais intensas da vida de qualquer pessoa: o ensino médio. Ao procurar modificar acontecimentos, ela começa a perceber que as consequências de suas atitudes nem sempre são como ela imagina, o que pode ser bem complicado. Em meio a amores impossíveis, amizades desfeitas e atritos familiares, Anita tentará escrever seu próprio final feliz em uma misteriosa página na internet.",41.9,BRL
Desejada,Sylvia Day,N/A,N/A,2014-05-13,"Sylvia Day, autora de maior sucesso no gênero erótico e cujos livros já foram publicados em mais de 40 países, traz mais um best-seller de tirar o fôlego para seus leitores. Quem perdeu o fôlego com Obstinada, não pode deixar de conhecer o segundo volume dos romances históricos da autora. Em Desejada, Christopher St. John e Maria, a conhecida Lady Winter, são famosos na sociedade por seus crimes e seu charme. Por onde passam, seguem-se sussurros escandalizados e olhares de cobiça. Ele é um pirata impiedoso, ela uma viúva sensual. Agora ambos foram convocados para a mais provocante das missões – St. John foi solto da cadeia para descobrir os segredos íntimos da viúva, enquanto Lady Winter recebeu a mesma tarefa em relação ao pirata. Um deles terá sucesso. O outro será enforcado...",19.9,BRL
Pelo amor de Cassandra,Lisa Kleypas,N/A,N/A,2020-11-18,"Sexto livro da série Os Ravenels. ""Lisa Kleypas tem o dom de fazer você rir e chorar na mesma página."" – Julia Quinn ""Lisa é uma joia preciosa, uma rainha entre as autoras de romances de época. Pelo amor de Cassandra é uma estrela muito bem-vinda em sua constelação de sucessos."" – Entertainment Weekly Lisa Kleypas já escreveu mais de 40 romances, que são best-sellers no mundo todo e foram traduzidos para 28 idiomas. Tom Severin, o magnata das ferrovias, tem dinheiro e poder suficientes para realizar todos os seus desejos. Por isso, quando resolve que está na hora de se casar, acha que deve ser fácil encontrar a esposa perfeita. Assim que ele pousa os olhos em lady Cassandra Ravenel pela primeira vez, decide que ela é essa mulher. O problema é que a bela e perspicaz Cassandra é tão determinada quanto ele, e faz questão de se casar por amor – a única coisa que Tom não pode oferecer. Além disso, ela não tem o menor interesse em viver no mundo frenético de alguém que só joga para vencer. No entanto, mesmo com o coração de gelo, ele é o homem mais charmoso que Cassandra já conheceu. E quando um inimigo recém-descoberto quase destrói a reputação dela, Tom aproveita a oportunidade que estava esperando para conquistá-la. Ao contrário do que pensa, porém, ele ainda não conseguiu o que queria. Porque a busca pela mão de Cassandra pode até ter chegado ao fim, mas a batalha por seu coração está apenas começando.",34.99,BRL
Incontrolável,Sylvia Day,N/A,N/A,2022-07-20,"Um casal libertino mantém um matrimônio de fachada... até que uma tragédia pode acender a paixão entre os dois – ou arruinar o casamento de uma vez por todas. Em Incontrolável, Isabel, a conhecida Lady Pelham, não poderia ter encontrado marido melhor. Gerard Faulkner, o Marquês de Grayson, é um amigo querido e encantador, além de um sedutor incorrigível. A união deles é sólida, mas seus corações estão longe um do outro. Eles são o casal mais escandaloso de Londres. Lady Pelham e o Marquês de Grayson combinam em tudo. Isabel sabe que um libertino charmoso como o marido nunca conquistará seu amor, e nem ela poderia roubar o coração galanteador dele. O casamento é uma grande farsa... até que um acontecimento chocante afasta Gerard de sua esposa. Agora, quatro anos mais tarde, Gerard retorna para Isabel. Mas o jovial malandro de antes voltou como um homem poderoso e irresistível, que está determinado a seduzi-la e a ganhar seu coração. Este não é o mesmo homem com quem ela se casou, mas pode ser o homem que finalmente conquistará seu corpo e sua alma... Sobre a autora: SYLVIA DAY é a autora de maior sucesso no gênero new adult. Sucesso internacional de vendas, a autora já foi traduzida para 41 idiomas e publicada em 29 países, tendo vendido dezenas de milhões de exemplares em todo o mundo. Nascida em Los Angeles, ela hoje mora em Las Vegas, mas também gosta de escrever em seu apartamento em Manhattan, no coração de Nova York. Reconhecida como uma das mais bem-sucedidas romancistas do mundo por diversos veículos de comunicação, Sylvia Day já foi destaque na Fox News, Time, Variety, The Hollywood Reporter, People, The Wall Street Journal, Cosmopolitan e muitos outros. Da mesma autora, leia também: Possuída Obstinada Desejada Dominadas",N/A,N/A
Último Comboio para Lime Street,Brian L. Porter,N/A,N/A,2021-01-06,"Bem-vindos a bordo do Último Comboio para Lime Street, o sexto livro do que começou como um romance independente, com A Mersey Killing. Tal foi o sucesso do livro, no entanto, que foi tomada a decisão de iniciar uma série de livros com o Inspetor Andy Ross, a Sargento Izzie Drake e os seus colegas da fictícia polícia de Merseyside, Equipa Especial de Investigação de Homicídios. Este esquadrão de elite é convocado para resolver o que parecem ser homicídios extremamente difíceis ou misteriosos na grande área metropolitana coberta pela Força Policial de Merseyside. É claro que grande parte do seu trabalho está concentrado na cidade de Liverpool e nos arredores e na criação das personagens que povoam os livros, em particular Ross e a sua equipa, decidi torná-los o mais “reais” possível, baseando uma grande parte das suas personalidades em membros da minha própria família, como recordo na infância em Liverpool, e aqueles que leram A Mersey Killing perceberão por que eu tive que usar as minhas memórias deles como eram na década 1960, para fazer as coisas funcionarem. Quando o segundo livro da série, All Saints, Murder on the Mersey, teve um desempenho tão bom quanto o primeiro, e o livro 3, A Mersey Maiden, ganhou um prémio do Livro do Ano de 2018, parecia que os personagens estavam a fazer um bom trabalho. Eles foram seguidos pelo igualmente bem-sucedido, premiado A Mersey Mariner e A Very Mersey Murder, e, acreditem ou não, por essa altura, alguns dos meus personagens até estavam a atrair os seus próprios e-mails de fãs, pois recebi várias missivas de leitores que têm os seus personagens favoritos e parecem ter desenvolvido vínculos, suas vidas e ações, da mesma forma que os telespectadores costumam fazer com os personagens das suas novelas preferidas. Detetive recém-casado Derek McLennan, cuidado, tens uma fã a seguir-te!",15.8,BRL
Resiliência,Harvard Business Review,N/A,N/A,2020-04-17,"Resiliência faz parte da Coleção Inteligência Emocional, que reúne os melhores artigos da Harvard Business Review sobre as habilidades sociais necessárias para encarar os desafios profissionais. ""Resiliência"" se tornou a palavra da moda no mundo corporativo – e por uma boa razão. A aptidão para se adaptar, crescer e prosperar em meio às adversidades tem sido a chave para o sucesso de muitas pessoas e para a existência de negócios duradouros. Este livro ajudará você a entender como tirar lições mesmo das críticas mais amargas e se tornar capaz de enfrentar os diferentes estresses do dia a dia, abordando temas como: • O mecanismo da resiliência • Como avaliar, gerenciar e fortalecer sua resiliência • Como grandes líderes se reergueram após desastres em suas carreiras",24.99,BRL
A cruz do Rei,Tim Keller,N/A,N/A,2017-06-13,"Keller, que alguns já chamaram de ""o C. S. Lewis do século 21,"" demonstra que Jesus veio a este mundo como rei, mas um rei que teve de carregar um fardo que ninguém jamais suportou. A Cruz do Rei traz um relato da vida de Cristo no Evangelho de Marcos, mas apresentado sob a ótica de Keller. Por meio desse relato, descobrimos o significado cósmico, histórico e pessoal da vida de Jesus, e somos desafiados a reexaminar nosso relacionamento com Deus. A Cruz do Rei é uma obra que pode ser lida tanto por céticos quanto por cristãos — ou seja, ela fala a todos que buscam uma ligação mais estreita com Jesus e o cristianismo. Keller faz uma apresentação inesquecível de Jesus Cristo, que deixará impressões marcantes na vida de cada leitor.",54,BRL
As sandálias do pescador,Morris West,N/A,N/A,2020-09-04,"Um romance marcante que mergulha nos bastidores do Vaticano. Esta obra de Morris West conta a história de Kiril Lakota, arcebispo ucraniano que lutou contra a ocupação nazista e sofreu com o stalinismo antes de ser eleito papa. Conhecendo bem a realidade sobre a qual escreve – West foi seminarista e por muitos anos correspondente no Vaticano –, o autor desvenda as complexas manobras políticas para a escolha do sumo pontífice e faz reflexões profundas sobre o catolicismo.",19.9,BRL
Agentes do Apocalipse,Dr. David Jeremiah,5,1,2016-04-20,"Será que estamos vivendo nos últimos dias? E se os atores descritos no livro de Apocalipse já estiverem atuando nos dias de hoje? Caso estejam, você saberia como reconhecê-los? Em Agentes do Apocalipse, o renomado especialista em profecias, Dr. David Jeremiah, faz o que nenhum mestre da Bíblia fez anteriormente. Ele explora o livro de Apocalipse por meio das lentes dos seus personagens mais marcantes: os mártires do exílio, os 144 mil, as duas testemunhas, o dragão, a besta que surge da terra, a besta que surge do mar, o Conquistador, o Rei e o Juiz. Habilmente redigido com o objetivo de envolver tanto a mente como o coração, cada capítulo começa com uma dramatização envolvente e bíblica que liga as profecias à vida cotidiana como nunca se viu antes. À medida que o Dr. Jeremiah apresenta estes agentes no contexto da sua época e lugar únicos no fim dos tempos, ele monta em rico cenário dos temperamentos, motivos e conspirações que, segundo as Sagradas Escrituras, precipitarão os últimos dias deste nosso mundo. A seguir, em cada capítulo, o Dr. Jeremiah apresenta um estudo detalhado chamado ""A Base Bíblica por trás desta História"", o qual explora algumas das passagens mais ocultas do livro de Apocalipse, explicando como interpretá-las e — o que é mais importante — como aplicá-las às forças malignas em ação no mundo de hoje. O palco já está montado, e a cortina pronta para ser aberta no último ato deste mundo. Você está preparado? Um Produto CPAD.",23.62,BRL
Circunstâncias especiais,"Sheldon M. Siegel, Luiz A. Araújo",N/A,N/A,2000,"Madrugada, véspera de Ano-Novo. Contrariando o ambiente festivo, uma tragédia abate-se sobre o maior escritório de advocacia da Costa Oeste dos Estados Unidos. Dois advogados - um homem e uma mulher - são encontrados mortos a bala, um ao lado do outro, no escritório dele. Suicídio ou assassinato? O enigma adquire contornos dramáticos quando a polícia detém o único suspeito do duplo homicídio, Joel Friedman, cujas impressões digitais estão no resolver deixado na cena do crime. Indícios e evidências apontam na direção de Joel, mas ele jura inocência. Desesperado, apela para o ex-promotor e ex-colega de escritório Mike Daley, cuja reputação beira a incompetência, que aceita o desafio de defendê-lo no tribunal. Durante o julgamento, a vida das vítimas e a do acusado são postas a nu, com revelações que aumentam ainda mais o mistérios que cerca as duas mortes.",N/A,N/A
A voz da sereia volta neste livro,Amanda Lovelace,N/A,N/A,2019-09-18,"A sereia é conhecida por seu canto misterioso capaz de atrair marinheiros curiosos para a sua morte. No entanto, por trás desses mitos equivocados estão contos de escapismo e cura que Lovelace tece ao longo desta poderosa coletânea de poemas. Eles tentaram silenciá-la de uma vez por todas, mas a voz da sereia volta neste livro. A voz da sereia volta neste livro é o terceiro e último volume da série as mulheres têm uma espécie de magia, da autora best-seller Amanda Lovelace. O livro conta com prefácio da escritora neozelandesa Lang Leav e treze poemas de autoras que representam as principais vozes contemporâneas da poesia, como Nikita Gill e KY Robinson.",29.9,BRL
Superimunidade,Joel Fuhrman,N/A,N/A,2014-08-21,"Porque o que comemos determina a nossa saúde.""Superimunidade é um livro essencial que contém a chave para acabarmos com o ciclo de doenças que assola nossas vidas.""Dr. Alejandro Junger, autor best-seller do New York Times""Uma leitura fantástica que explica cientificamente as origens das doenças ocidentais e estabelece soluções viáveis para os nossos estilos de vida pouco saudáveis.""Garth Davis, diretor médico de cirurgia bariátrica do hospital Memorial City, Houston, Texas""Este livro mostra que a ingestão de alimentos ricos em nutrientes é o melhor caminho para a construção de um supersistema imunológico, uma vida longa e saudável com uma 'mente sã'.""Dr. Rudy Kachmann, neurocirurgião, Instituto Kachmann da Mente e do Corpo""Superimunidade contém um conselho irrefutável de como ficar e se manter saudável, mesmo em um mundo cada vez mais tóxico e processado.""Revista VegNewsO que comemos tem tudo a ver com a nossa saúde, e, infelizmente, muitos de nós estão vivendo com sua função imunológica dizimada. Neste livro você descobrirá que a maneira como temos nos alimentado tem nos deixado doentes, vivendo menos e gastando milhões em consultas médicas, internações hospitalares e medicamentos. Mas o dr. Joel Fuhrman não acredita que cuidados médicos sejam a única resposta. Em vez disso, ele explica que a solução é mudar a maneira como nos alimentamos.Estamos comendo muitos alimentos altamente processados, cheios de adoçantes, gorduras e proteínas de origem animal. Ao mesmo tempo, quase não estamos ingerindo frutas, grãos, sementes e legumes, o que nos deixa carentes de centenas de compostos que formam nossa proteção corporal, ou seja, nossa imunidade às doenças. Dr. Fuhrman afirma que, ao mudarmos nossa dieta e combinarmos os alimentos que contêm poderosa capacidade de fortalecimento imunológico, podemos prevenir as doenças modernas mais comuns.Combinando dados dos mais recentes testes clínicos, pesquisa nutricional e experiências com milhares de pacientes, dr.",24.9,BRL
Uma Voz No Vento,Francine Rivers,N/A,N/A,2023-06-01,"Em Roma, 70 d.C., uma escrava e um aristocrata estão destinados a amar-se. Contra tudo e contra todos, vivem uma paixão proibida neste romance épico que conquistou o coração de milhões de leitores em todo o mundo. Depois de sobreviver ao massacre da sua família e à destruição de Jerusalém pelos romanos, a jovem Hadassa é capturada e vendida à família de um mercador abastado. Levada para Roma, torna-se escrava pessoal da libertina Júlia Valeriana. Hadassa é cristã e vê-se forçada a manter a sua identidade religiosa em segredo. Confusa e sozinha, ela tenta subtilmente transformar as vidas dos que a rodeiam. Marcos, o irmão mais velho de Júlia, está habituado a uma vida de prazer e abundância, não se preocupando com as mulheres com quem se envolve. Mas sabe que Hadassa é diferente e não consegue afastar a jovem escrava do seu pensamento. Também Atretes, um soldado capturado, é forçado a submeter-se aos seus captores e a tornar-se gladiador. A imoralidade e decadência da vida romana causam-lhe repulsa, e vive com a saudade da vida que ficou para trás. Será possível que o amor entre Hadassa e Marcos floresça perante tão profunda desigualdade? Poderá Atretes sobreviver à barbárie e manter intacta a sua luz interior? O declínio de Roma e a decadência de uma civilização à beira da autodestruição servem de poderoso pano de fundo a este romance épico e inesquecível.",N/A,N/A
O Desafio de Amar,"Stephen Kendrick, Alex Kendrick ",N/A,N/A,2019-06-17,"O Desafio de Amar é ideal para ministérios de casais, para presentear seu amigo casado ou até mesmo para usar como uma ferramenta importante para renovação do seu casamento. Ameaçado ou saudável, O Desafio de Amar é uma estrada que precisa ser seguida. … hora de descobrir os segredos de um casamento cheio de vida e da verdadeira intimidade. Este livro é citado dentro do filme Prova de Fogo (dos mesmos produtores de Desafiando os Gigantes). O livro não é a trama do filme em si, é apenas um dos recursos usados por um dos personagens do filme - que agora poderá também ser um recurso para você usar em sua vida ou no ministério de casais de sua igreja. Conforme proposto no filme, o livro O Desafio de Amar é feito em forma de um diário, onde durante 40 dias você encontra um devocional diário e um desafio específico para aquele dia. Todas as leituras incluem as Escrituras, um ""desafio"" do dia e um espaço para anotação e verificação do progresso. Desafie-se a aceitar o desafio de amar e veja o seu casamento ser transformado para sempre.",33.92,BRL
Pageboy,Elliot Page,N/A,N/A,2023-06-12,"Um livro de memórias disruptivo do conceituado ator Elliot Page. «Posso beijar-te?» Faltavam dois meses para a estreia mundial do filme Juno, e Elliot Page estava num bar gay pela primeira vez. Sentia o peso do ar quente de verão sobre si enquanto olhava para ela. E então aconteceu. À frente de todos. Ali estava ele, prestes a descobrir-se como uma pessoa trans. A ir ao encontro dos seus desejos, dos seus sonhos, de si mesmo, sem a repressão que carregou por tanto tempo. Com o enorme sucesso de Juno, Elliot tornou-se um dos atores mais acarinhados do mundo. Os seus sonhos estavam por fim a realizar-se, mas a pressão para representar sufocava-o, e a carreira que tinha sido uma fuga da realidade para um mundo imaginário de repente transformou-se num pesadelo. Ao lidar com as críticas e os abusos de algumas das pessoas mais poderosas de Hollywood, Elliot mantinha-se frequentemente em silêncio, sem saber o que fazer, até atingir o seu limite. Pageboy é uma ode à coragem de nos libertarmos das expectativas dos outros e assumirmos quem realmente somos.",N/A,N/A
Uma voz ao vento (Vol. 1 A Marca do Leão),Francine Rivers,N/A,N/A,2018-07-16,""" Um romance entre a decidida escrava Hadassah e o belo aristocrata Marcus, Uma voz ao vento é o primeiro volume da saga A Marca do Leão de Francine Rivers. Os dramas e paixões de judeus, romanos e bárbaros em Roma, setenta anos depois de Cristo. Depois de sobreviver ao massacre de sua família e à destruição de Jerusalém pelos romanos, Hadassah é capturada e vendida para a família de um rico comerciante. Levada a Roma, ela se torna escrava pessoal da hedonista Júlia Valeriano. Hadassah se esforça para seguir os ensinamentos de Jesus, mas é forçada a manter sua religião em segredo para sobreviver. Confusa e sozinha, ela só tem a própria fé para se agarrar enquanto tenta sutilmente trazer Deus para a vida de seus senhores. Precipitada e egoísta, Júlia tem um relacionamento conturbado com Hadassah, enquanto o irmão dela, Marcus, olha para a escrava cada dia com mais admiração. É possível que o amor entre Hadassah e Marcus floresça, considerando não apenas a posição de ambos na vida, mas também a lacuna entre a fé inabalável de Hadassah e a total descrença de Marcus? Ao mesmo tempo, Atretes, um soldado capturado na Germânia, é forçado a se tornar gladiador. O declínio de Roma está começando, e a decadência de uma civilização à beira da autodestruição serve como um poderoso pano de fundo para a luta do bárbaro pela sobrevivência na arena. """,N/A,N/A
A Profecia Celestina - Um Guia Experimental,James Redfield,N/A,N/A,2017-11-16,"Depois do romance A Profecia Celestina, este guia experimental, onde o sociólogo James Redfield e a escritora Carol Adrienne aprofundam os dados contidos nos «acontecimentos misteriosos» (as «revelações») que acompanham o Homem na sua «caminhada espiritual». O leitor é, neste caso, convidado a debruçar-se sobre as relações com as pessoas que o rodeiam, designadamente os familiares, a tomar consciência do modo como o seu passado pode influir no futuro do Mundo e a apreender o contributo da sua energia pessoal na força que circula no Universo.James Redfield cresceu numa área rural nos EUA. Quando auto-publicou o seu primeiro romance em 1992, o imediato interesse das livrarias e leitores fizeram da ""A Profecia Celestina"" um dos maiores sucessos de todos os tempos. Em março de 1994 a Warner Bookscomprou os direitos e publicou uma edição de capa dura. O livro rapidamente alcançou a posição número 1 da lista de best-sellers do jornal New York Times, tendo ficado mais de três anos na lista dos mais vendidos. Em 1996 foi indicado como o livro com maior vendas em todo o mundo (tendo sido o segundo mais vendido em 1995). Em maio de 2005, contabilizou 20 milhões de exemplares vendidos e traduzidos em 34 línguas. Um filme foi realizado em 2006 sobre este livro.",N/A,N/A
Mia & Korum: A Trilogia Completa Das Crônicas Dos Krinar,"Anna Zaires, Dima Zales",N/A,N/A,2017-02-10,"De uma autora best-seller do New York Times, uma historia viciante e empolgante de um amor sombrio na Terra pos-invasao... Cinco anos no futuro, os humanos deixam de ser a especie mais avancada. A Terra e comandada pelos krinars, uma raca bela e misteriosa de outra galaxia. Universitaria timida e inexperiente, Mia Stalis nunca teve muita interacao com os invasores ate que um encontro do destino no Central Park muda tudo. Depois de atrair a atencao de Korum, ela agora precisa lidar com um krinar poderoso e perigosamente sedutor que fara de tudo para possui-la... ate mesmo tirar sua liberdade. Dos arranha-ceus da cidade de Nova Iorque as paisagens alienigenas de Krina, a paixao epica dos dois transformara o mundo. Observacao: esta e a trilogia completa das Cronicas dos Krinar, contendo Encontros Intimos, Obsessao Intima e Lembranca Intima (tres romances com um total de 270.000 palavras).",N/A,N/A
Amor Sem Limites,"NICK VUJICIC, KANAE VUJICIC",N/A,N/A,2015,"Mesmo ele, que nasceu sem braços e pernas, criou uma vida absurdamente boa. No entanto, depois de algumas decepções e um relacionamento fracassado, ele chegou aos vinte e poucos anos acreditando que nunca encontraria uma mulher para amá-lo e compartilhar sua vida. Então Nick conheceu Kanae e tudo mudou. E mesmo com a química inegável, eles teriam de navegar por caminhos tortuosos antes de tornarem-se um no casamento. Em Amor sem Limites, Nick e Kanae contam como se apaixonaram depois de um encontro improvável e lutaram para vencer a descrença dos outros. Repleto de dicas práticas que beneficiará qualquer casal, este livro inspirador descreve o caminho divino e os primeiros anos do casamento dos Vujicic. Acima de tudo, é um lembrete inspirador de que, quando Cristo está no centro deum relacionamento mesmo com sérios desafios , o amor verdadeiro triunfará.",N/A,N/A
Escrito nas estrelas,Sidney Sheldon,5,1,2000,"Lara Cameron é uma mulher moderna e visionária que, durante toda sua vida, trabalhou arduamente para erguer a Cameron Enterprises, um verdadeiro império no ramo imobiliário. Usando sua grande inteligência e capacidade de identificar as pessoas certas para ajudá-la a ultrapassar cada obstáculo, ela se tornou uma rainha em um universo tradicionalmente dominado por homens, conquistando assim fortuna e renome além de qualquer expectativa. Porém, um presente de glórias e sucesso oculta um passado sombrio e repleto de monstros que ameaçam retornar e destruir tudo que Lara construiu. Alguém planeja uma vingança que, se bem-sucedida, fará com que Lara perca não só sua reputação, como também o controle de seu império, ao qual ela dedicou toda a sua vida e muito de sua própria alma.",N/A,N/A
Hábitos Atômicos,Willian Jhonata,N/A,N/A,2024-07-16,"Descubra o poder transformador dos hábitos em Hábitos Atômicos: Transformando seus Hábitos . Este livro é um guia indispensável para qualquer pessoa que deseja romper barreiras e alcançar um sucesso que vai além do comum. Neste livro, você será levado em uma viagem profunda e reveladora, onde aprenderá a identificar, modificar e consolidar hábitos que moldam não apenas seu dia a dia, mas todo o seu futuro. Combinando insights da neurociência e estratégias práticas, esta obra oferece uma abordagem holística e fundamentada para a verdadeira mudança de comportamento. Você aprenderá a: - Reconhecer e eliminar hábitos negativos que sabotam seu progresso. - Cultivar hábitos poderosos que impulsionam sua produtividade e motivação. - Implementar técnicas comprovadas para manter a consistência e a disciplina. - Construir uma mentalidade resiliente que suporta desafios e adversidades. Transformando seus Hábitos não é apenas um livro, mas um manual de vida que irá equipá-lo com as ferramentas necessárias para se tornar a melhor versão de si mesmo. Prepare-se para uma metamorfose pessoal e profissional, e embarque na jornada que o levará ao sucesso extraordinário. Suas conquistas estão prestes a começar!",N/A,N/A
Taylor Swift: A história completa,"Chas Newkey-Burden, Nicolas Werth, Jean-Louis Panné, Karel Bartosek, Jean-Louis Margolin, Andrzej Paczkowski",N/A,N/A,2024-06-17,"O livro que todo Swiftie precisa ler, Taylor Swift: A história completa conta a ascensão meteórica da estrela do pop que está dominando o mundo! Taylor Swift foi de jovem talentosa de uma cidade pequena a artista ganhadora de prêmios e estrela mundial, constantemente no topo das paradas e quebrando recordes de vendas e de público. Mas como ela chegou lá? E o que o futuro reserva para a loirinha? Quando criança, Taylor sonhava em se apresentar para multidões de fãs. Determinada, ainda adolescente ela teve o apoio dos pais para investir na carreira musical e transformou a sinceridade de suas letras em marca registrada. Em Taylor Swift: A história completa Chas Newkey-Burden apresenta a jornada da cantora, incluindo os desafios de ser levada a sério em uma indústria comandada por homens, a determinação de ser a dona de sua obra e a constante pressão de se superar a cada novo álbum. Com detalhes fascinantes que revelam a verdadeira Taylor, Taylor Swift: A história completa não deixa de fora o que inspira e motiva a cantora e compositora, aborda os diversos desafios que surgiram ao longo da trajetória de Taylor e como ela os superou. Analisa, também, a forte imagem construída e consolidada pela artista e a verdade sobre seus relacionamentos amorosos, inspiração para muitas de suas letras. Da infância na Pensilvânia aos obstáculos superados na escalada para o sucesso, dos relacionamentos com Harry Styles, Joe Alwyn e Travis Kelce à The Eras Tour – que quebrou recordes de bilheteria pelo mundo –, Taylor Swift: A história completa é um relato imperdível da jornada de uma jovem que amadureceu sob os holofotes e agora domina o mundo.",N/A,N/A
Sem coração (Chestnut Springs - Livro 2),Elsie Silver,N/A,N/A,2025-01-03,"Meu contrato diz que o acordo é por dois meses... Mas meu coração diz que é para sempre. Ser babá de um garotinho por alguns meses deveria ser fácil, o problema é que Willa não consegue tirar os olhos do pai dele e o pai dele não consegue tirar as mãos dela. Depois que o bar onde ela trabalha fecha para reformas, Willa Grant fica sem rumo na vida. Mas sua amiga Summer tem a solução ideal e a convida para passar o verão no rancho sendo babá de Luke, sobrinho do noivo dela. O pai de Luke, Cade, evita até olhar para Willa. E tudo bem, porque além de ser rude e mal-humorado, ele ainda é 13 anos mais velho que ela. O problema é que Cade tem os ombros largos, as mãos calejadas e uma boca suja que deixam Willa com as pernas bambas. Quando eles acabam juntos na banheira de hidromassagem para um jogo de verdade ou consequência, todas as suas convicções caem por terra. Assim como as roupas dos dois. À medida que se entregam à atração, Willa percebe que a rispidez dele é só fachada. Afinal, nunca se sentiu protegida assim com homem nenhum. E Cade começa a ver que, quando aceita o risco e abre o coração, coisas boas podem acontecer. Quem sabe até o amor.",N/A,N/A
Raiva,Bob Woodward,N/A,N/A,2021-01-14,"Neste livro, o leitor conhecerá o momento exato em que Trump foi avisado da ameaça representada pela Covid-19. Ao longo de sete meses, Woodward gravou dezessete entrevistas com o então presidente — num raro e detalhado vislumbre de sua mente. O jornalista mostra como membros do gabinete tentavam manter o país a salvo enquanto Trump desmantelava qualquer tentativa de decisão colegiada nos assuntos de segurança nacional.",N/A,N/A
Resiliência (Coleção Inteligência Emocional - HBR),Harvard Business Review,N/A,N/A,2020-04-02,"Resiliência faz parte da Coleção Inteligência Emocional, que reúne os melhores artigos da Harvard Business Review sobre as habilidades sociais necessárias para encarar os desafios profissionais. ""Resiliência"" se tornou a palavra da moda no mundo corporativo – e por uma boa razão. A aptidão para se adaptar, crescer e prosperar em meio às adversidades tem sido a chave para o sucesso de muitas pessoas e para a existência de negócios duradouros. Este livro ajudará você a entender como tirar lições mesmo das críticas mais amargas e se tornar capaz de enfrentar os diferentes estresses do dia a dia, abordando temas como: • O mecanismo da resiliência • Como avaliar, gerenciar e fortalecer sua resiliência • Como grandes líderes se reergueram após desastres em suas carreiras",N/A,N/A
Ferrari,Brock Yates,N/A,N/A,2019-11-18,""" O vermelho da Ferrari sempre foi sinônimo de velocidade. Seu Cavallino Rampante é garantia de excelência, luxo e desempenho. Muito menos conhecido é o homem por trás da marca. Enzo ferrari. Gênio? Tirano? Déspota? Em 1991, foi lançada a primeira biografia definitiva de um dos homens mais poderosos e enigmáticos do século XX - Enzo Ferrari. Brock Yates mergulhou fundo na vida do empresário de Módena e revelou muito sobre o homem por trás da maior empresa de carros esportivos do mundo. Desde seu relacionamento problemático com o filho ilegítimo até o brilhante marketing que fez da Ferrari o que ela é. Rápido, divertido, escandaloso e informativo, Ferrari: O homem por trás das máquinas faz mais do que jus à sua fama notável. Por quase setenta anos, Enzo Ferrari dominou um império automobilístico que definiu o mundo dos carros de alto desempenho e que se mantém sólido até os dias de hoje. Mas será que o modenense, tão reverenciado na Itália quanto o papa, era o padrone benigno retratado pela imprensa que o idolatrava, ou apenas um déspota implacável que levava sua equipe à beira da loucura? Ferrari, a biografia definitiva de Brock Yates, penetrou o verniz brilhante e impecável da Ferrari. Com isso, revelou a verdade por trás das relações de poder de Enzo Ferrari e sua obsessão fanática pela velocidade. Sua publicação despertou tanto o furor dos admiradores do fundador da empresa quanto a aclamação de historiadores. Esta nova edição, Ferrari: O homem por trás das máquinas, inédita no Brasil, acrescenta informações cruciais sobre a trajetória da empresa após a morte do fundador. Além disso, o leitor terá acesso a análises sobre as relações econômicas que a Ferrari desenvolveu ao longo dos anos e novas fotos incríveis e inéditas. Uma biografia essencial para todo admirador da marca de carros mais famosa do mundo. """"Um livro fascinante e provocante."""" - The Observer """,N/A,N/A
